id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing,H,HR,AVG,SLG,OPS
665833,"Cruz, Oneil",451,0.91111111111111111111,313,78.11442966740582,0.74279379157427937916,0.3226837060702875,0.22394678492239467,0.23322683706070288,0.16186252771618626,7.6461519512195122,3,-10.369543,138,0.30598669623059865,154,0.34146341463414637,78,14,0.246,0.438,0.737
656941,"Schwarber, Kyle",493,0.90127970749542961609,351,77.30741245436101,0.76267748478701825558,0.34472934472934474,0.24543610547667344,0.23076923076923078,0.1643002028397566,7.8187010365853659,20,-1.775890995,142,0.2880324543610548,182,0.3691683569979716,80,19,0.249,0.455,0.831
592450,"Judge, Aaron",580,0.90625000000000000000,403,76.83121862068974,0.72413793103448275862,0.36724565756823824,0.25517241379310346,0.27791563275434245,0.19310344827586207,8.1919707068965517,4,30.983116870676604,177,0.30517241379310345,201,0.34655172413793106,105,34,0.306,0.679,1.112
656305,"Chapman, Matt",592,0.90519877675840978593,452,76.53188631756758,0.65202702702702702703,0.25442477876106195,0.19425675675675674,0.16371681415929204,0.125,7.4093356418918919,13,-11.61247714,140,0.23648648648648649,201,0.33952702702702703,84,13,0.235,0.411,0.73
666624,"Morel, Christopher",580,0.90625000000000000000,401,76.23617134482754,0.67758620689655172414,0.30673316708229426,0.2120689655172414,0.18952618453865336,0.1310344827586207,8.0032863620689655,17,-16.90719453,179,0.3086206896551724,213,0.36724137931034484,69,18,0.202,0.387,0.69
670541,"Alvarez, Yordan",532,0.91566265060240963855,429,75.88753443609028,0.56203007518796992481,0.3356643356643357,0.2706766917293233,0.21678321678321677,0.17481203007518797,7.5611913345864662,0,11.193744610038864,103,0.19360902255639098,234,0.4398496240601504,101,19,0.296,0.531,0.913
683002,"Henderson, Gunnar",617,0.90735294117647058824,476,75.84525213938419,0.61426256077795786062,0.35714285714285715,0.2755267423014587,0.23319327731092437,0.17990275526742303,7.2308098703403566,11,8.593189963217853,141,0.22852512155591573,247,0.40032414910858993,108,28,0.286,0.584,0.957
677594,"Rodr?guez, Julio",703,0.90592783505154639175,495,75.66527028449507,0.57752489331436699858,0.28888888888888886,0.2034139402560455,0.19595959595959597,0.1379800853485064,7.8880877240398293,22,-12.07129745,208,0.2958748221906117,220,0.3129445234708393,100,10,0.267,0.372,0.69
660271,"Ohtani, Shohei",626,0.90331890331890331890,448,75.64197214057512,0.57987220447284345048,0.37723214285714285,0.26996805111821087,0.25223214285714285,0.1805111821086262,7.6657827635782748,5,15.014938138205554,178,0.28434504792332266,232,0.3706070287539936,117,29,0.316,0.635,1.035
665742,"Soto, Juan",529,0.90582191780821917808,422,75.47346612476365,0.60680529300567107750,0.41232227488151657,0.32892249527410206,0.25355450236966826,0.20226843100189035,7.2738844990548204,15,7.840868866391966,107,0.20226843100189035,234,0.44234404536862004,101,23,0.295,0.558,0.984
624585,"Soler, Jorge",507,0.91187050359712230216,366,75.42603917159768,0.57593688362919132150,0.2923497267759563,0.21104536489151873,0.1284153005464481,0.09270217,7.9940623471400394,5,-13.18767385,141,0.2781065088757396,185,0.36489151873767256,68,10,0.225,0.397,0.702
665489,"Guerrero Jr., Vladimir",594,0.90687022900763358779,468,75.36038099326599,0.53030303030303030303,0.33974358974358976,0.2676767676767677,0.22435897435897437,0.17676767676767677,7.6785556565656566,7,1.0022967666420786,126,0.21212121212121213,241,0.4057239057239057,107,14,0.288,0.456,0.815
663624,"Mountcastle, Ryan",628,0.90882778581765557164,494,75.25891186305738,0.53821656050955414013,0.27125506072874495,0.21337579617834396,0.15991902834008098,0.12579617834394904,7.5005946656050955,8,-10.01009781,134,0.21337579617834396,224,0.35668789808917195,92,12,0.271,0.447,0.758
572233,"Walker, Christian",667,0.90257104194857916103,512,75.16191988005997,0.55022488755622188906,0.259765625,0.19940029985007496,0.16796875,0.12893553223388307,7.5467854272863568,21,-6.522795244,155,0.23238380809595202,219,0.328335832,97,22,0.264,0.495,0.838
663586,"Riley, Austin",528,0.90721649484536082474,389,75.11013401515149,0.52840909090909090909,0.32390745501285345,0.23863636363636365,0.2210796915167095,0.16287878787878787,7.4966048295454545,17,-7.496324175,139,0.26325757575757575,187,0.3541666666666667,80,12,0.257,0.45,0.779
624413,"Alonso, Pete",581,0.90781250000000000000,463,75.03908522,0.51462994836488812392,0.28509719222462204,0.22719449225473323,0.15982721382289417,0.12736660929432014,7.3146491910499139,9,-13.51456647,118,0.20309810671256454,240,0.41308089500860584,88,19,0.24,0.454,0.773
669394,"Burger, Jake",475,0.90476190476190476190,342,74.91416653,0.50947368421052631579,0.30701754385964913,0.22105263157894736,0.18128654970760233,0.13052631578947368,7.4156560842105263,7,-7.25985793,133,0.28,163,0.3431578947368421,64,10,0.225,0.37,0.635
592518,"Machado, Manny",569,0.90317460317460317460,444,74.78225987697714,0.47275922671353251318,0.3108108108108108,0.24253075571177504,0.18468468468468469,0.14411247803163443,7.7335274340949033,13,-4.877718938,125,0.21968365553602812,223,0.39191564147627417,93,13,0.267,0.422,0.741
621043,"Correa, Carlos",448,0.91428571428571428571,370,74.69274448660705,0.47991071428571428571,0.327027027,0.2700892857142857,0.21351351351351353,0.17633928571428573,7.2455097321428571,2,13.748461952046744,78,0.17410714285714285,198,0.4419642857142857,86,13,0.308,0.52,0.897
682985,"Greene, Riley",591,0.91344667697063369397,450,74.65706685,0.46531302876480541455,0.3244444444444444,0.2470389170896785,0.17333333333333334,0.1319796954314721,7.1866969543147208,3,4.380250408408996,141,0.23857868020304568,216,0.36548223350253806,96,17,0.271,0.503,0.867
677951,"Witt Jr., Bobby",635,0.90714285714285714286,497,74.64131088188982,0.48661417322834645669,0.36217303822937624,0.28346456692913385,0.20925553319919518,0.16377952755905512,7.0756029921259843,10,12.699058425736116,138,0.2173228346456693,276,0.4346456692913386,125,16,0.323,0.558,0.927
661388,"Contreras, William",633,0.90687679083094555874,474,74.57401605055294,0.49763033175355450237,0.3860759493670886,0.2890995260663507,0.229957806,0.1721958925750395,7.3193432227488152,15,1.0262232097290107,159,0.25118483412322273,266,0.42022116903633494,108,11,0.286,0.44,0.792
665487,"Tatis Jr., Fernando",481,0.90413533834586466165,367,74.49463769230773,0.46361746361746361746,0.37057220708446864,0.28274428274428276,0.21798365122615804,0.16632016632016633,7.2961005821205821,19,-5.648484702,114,0.23700623700623702,195,0.40540540540540543,86,14,0.279,0.468,0.822
682829,"De La Cruz, Elly",557,0.90864600326264274062,394,74.44499030520645,0.49551166965888689408,0.3020304568527919,0.21364452423698385,0.1700507614213198,0.12028725314183124,7.2059589587073609,16,-1.935750513,163,0.2926391382405745,193,0.3464991023339318,92,17,0.256,0.483,0.829
663728,"Raleigh, Cal",614,0.90560471976401179941,443,74.42229599348529,0.44951140065146579805,0.29345372460496616,0.21172638436482086,0.18058690744920994,0.13029315960912052,7.7342696742671010,6,-1.742715952,171,0.2785016286644951,174,0.28338762214983715,68,20,0.216,0.435,0.734
542303,"Ozuna, Marcell",629,0.90503597122302158273,434,74.15797039745632,0.43879173290937996820,0.34101382488479265,0.23529411764705882,0.20506912442396313,0.14149443561208266,7.4127352305246423,3,13.136643132090079,195,0.31001589825119236,211,0.3354531001589825,107,26,0.303,0.581,0.96
